querry terms: anaconda
1. P003.html Score: 0.64390801728553
2. P015.html Score: 0.5762066963910213
3. P002.html Score: 0.5444917060423349
4. P032.html Score: 0.5382625166763254
5. P020.html Score: 0.4775303287601994
6. P022.html Score: 0.4831613564037805
7. P007.html Score: 0.45515594333716547
8. P021.html Score: 0.435777092050225
9. P028.html Score: 0.3993447806668247
10. P046.html Score: 0.35664153210735833
11. P001.html Score: 0.3305878382891767
12. P011.html Score: 0.28743122668794086
13. P013.html Score: 0.13617404001038214
14. P035.html Score: 0.08355376608928904
15. P037.html Score: 0.07971679531279251
16. P031.html Score: 0.09003048789758593
17. P009.html Score: 0.08851527356236183
18. P008.html Score: 0.11456987806493432
19. P038.html Score: 0.056007517539819474
20. P044.html Score: 0.05351052024548386
21. P027.html Score: 0.06024374606410732
22. P004.html Score: 0.05907745136735139
23. P025.html Score: 0.06348569685659892
24. P023.html Score: 0.06729530778732322
25. P017.html Score: 0.09132840099553283
26. P039.html Score: 0.05411497440769028

querry terms: program
1. P049.html Score: 0.44770313766288306
2. P054.html Score: 0.3997306893097687
3. P061.html Score: 0.3798294483935954
4. P055.html Score: 0.3826272698325248
5. P059.html Score: 0.3776524732240656
6. P042.html Score: 0.35075248936280135
7. P063.html Score: 0.34071528551071156
8. P043.html Score: 0.29573413589989694
9. P045.html Score: 0.2982411789995299
10. P062.html Score: 0.26707902183986054
11. P058.html Score: 0.2551295471676453
12. P026.html Score: 0.23029458823807497
13. P057.html Score: 0.18670654575625922
14. P056.html Score: 0.1876323049209137
15. P064.html Score: 0.18846048581333036
16. P053.html Score: 0.16742470295680428
17. P060.html Score: 0.1671854696535048
18. P051.html Score: 0.1688183809812774
19. P052.html Score: 0.15761864384275734
20. P041.html Score: 0.14438790315852637
21. P050.html Score: 0.1332277983461688
22. P034.html Score: 0.11280889987368273
23. P036.html Score: 0.09461850785830998

querry terms: python
1. P029.html Score: 0.3193379147964214
2. P026.html Score: 0.29326242199891345
3. P034.html Score: 0.2586008149274746
4. P010.html Score: 0.2479037652294635
5. P036.html Score: 0.2246789334844866
6. P041.html Score: 0.21431841575960142
7. P019.html Score: 0.20706121979116024
8. P031.html Score: 0.21952357496628921
9. P033.html Score: 0.2070559437967474
10. P009.html Score: 0.21659213735811395
11. P030.html Score: 0.20149894696932918
12. P044.html Score: 0.19095493845884637
13. P006.html Score: 0.20792767192043582
14. P016.html Score: 0.19011633239737066
15. P024.html Score: 0.16513548910771597
16. P037.html Score: 0.15134321160654754
17. P018.html Score: 0.15596682880303792
18. P025.html Score: 0.15268046291918275
19. P048.html Score: 0.13763506320468086
20. P047.html Score: 0.14800115431786787
21. P040.html Score: 0.12392535562369589
22. P027.html Score: 0.1272593087301246
23. P039.html Score: 0.09622000859745038
24. P035.html Score: 0.08267816197959722
25. P017.html Score: 0.11302576342372997
26. P061.html Score: 0.059530774430507756
27. P055.html Score: 0.06909482198214217
28. P043.html Score: 0.05563100868015159
29. P053.html Score: 0.05379002813952753
30. P022.html Score: 0.051460426283214136
31. P058.html Score: 0.03949602296200555
32. P050.html Score: 0.04499135425483419
33. P032.html Score: 0.048431099934041114
34. P051.html Score: 0.0532956144730833
35. P059.html Score: 0.05064641715222881
36. P057.html Score: 0.03257102311769133
37. P064.html Score: 0.040662957199098106
38. P060.html Score: 0.03231711801840996
39. P042.html Score: 0.03705805216681798
40. P049.html Score: 0.03890179702319663
41. P062.html Score: 0.02779214344420055

